Date,Open,High,Low,Close,Adj Close,Volume
9/26/2022,149.660004,153.770004,149.639999,150.770004,149.880859,93339400
9/27/2022,152.740005,154.720001,149.949997,151.759995,150.865005,84442700
9/28/2022,147.639999,150.639999,144.839996,149.839996,148.956329,146691400
9/29/2022,146.100006,146.720001,140.679993,142.479996,141.63974,128138200
9/30/2022,141.279999,143.100006,138,138.199997,137.384964,124925300
10/3/2022,138.210007,143.070007,137.690002,142.449997,141.609909,114311700
10/4/2022,145.029999,146.220001,144.259995,146.100006,145.238388,87830100
10/5/2022,144.070007,147.380005,143.009995,146.399994,145.536606,79471000
10/6/2022,145.809998,147.539993,145.220001,145.429993,144.572342,68402200
10/7/2022,142.539993,143.100006,139.449997,140.089996,139.26384,85925600
10/10/2022,140.419998,141.889999,138.570007,140.419998,139.591873,74899000
10/11/2022,139.899994,141.350006,138.220001,138.979996,138.16037,77033700
10/12/2022,139.130005,140.360001,138.160004,138.339996,137.524155,70433700
10/13/2022,134.990005,143.589996,134.369995,142.990005,142.146744,113224000
10/14/2022,144.309998,144.520004,138.190002,138.380005,137.563919,88598000
10/17/2022,141.070007,142.899994,140.270004,142.410004,141.57016,85250900
10/18/2022,145.490005,146.699997,140.610001,143.75,142.902252,99136600
10/19/2022,141.690002,144.949997,141.5,143.860001,143.011597,61758300
10/20/2022,143.020004,145.889999,142.649994,143.389999,142.544373,64522000
10/21/2022,142.869995,147.850006,142.649994,147.270004,146.401505,86548600
10/24/2022,147.190002,150.229996,146,149.449997,148.568634,75981900
10/25/2022,150.089996,152.490005,149.360001,152.339996,151.441589,74732300
10/26/2022,150.960007,151.990005,148.039993,149.350006,148.469223,88194300
10/27/2022,148.070007,149.050003,144.130005,144.800003,143.94606,109180200
10/28/2022,148.199997,157.5,147.820007,155.740005,154.821548,164762400
10/31/2022,153.160004,154.240005,151.919998,153.339996,152.435684,97943200
11/1/2022,155.080002,155.449997,149.130005,150.649994,149.761551,80379300
11/2/2022,148.949997,152.169998,145,145.029999,144.174698,93604600
11/3/2022,142.059998,142.800003,138.75,138.880005,138.060974,97918500
11/4/2022,142.089996,142.669998,134.380005,138.380005,137.792114,140814800
11/7/2022,137.110001,139.149994,135.669998,138.919998,138.329803,83374600
11/8/2022,140.410004,141.429993,137.490005,139.5,138.907364,89908500
